id,SEA202309270
version,2
info,visteam,HOU
info,hometeam,SEA
info,site,SEA03
info,date,2023/09/27
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,vanol901
info,ump1b,mosce901
info,ump2b,guccc901
info,ump3b,rackd901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/05 09:13:38
info,howscored,unknown
info,pitches,pitches
info,oscorer,radoe701
info,temp,58
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,195
info,attendance,38019
info,wp,gravk001
info,lp,millb004
info,save,
start,altuj001,"Jose Altuve",0,1,4
start,brega001,"Alex Bregman",0,2,5
start,alvay001,"Yordan Alvarez",0,3,10
start,tuckk001,"Kyle Tucker",0,4,9
start,abrej003,"Jose Abreu",0,5,3
start,branm003,"Michael Brantley",0,6,7
start,dubom001,"Mauricio Dubon",0,7,8
start,penaj004,"Jeremy Pena",0,8,6
start,maldm001,"Martin Maldonado",0,9,2
start,valdf001,"Framber Valdez",0,0,1
start,crawj002,"J.P. Crawford",1,1,6
start,rodrj007,"Julio Rodriguez",1,2,8
start,suare001,"Eugenio Suarez",1,3,5
start,hernt002,"Teoscar Hernandez",1,4,9
start,moord002,"Dylan Moore",1,5,7
start,frant002,"Ty France",1,6,3
start,ralec001,"Cal Raleigh",1,7,2
start,haggs001,"Sam Haggerty",1,8,10
start,cabaj001,"Jose Caballero",1,9,4
start,millb004,"Bryce Miller",1,0,1
play,1,0,altuj001,12,FSFBFX,9/F9S
play,1,0,brega001,31,CBBBB,W
play,1,0,alvay001,11,CB1,CS2(16)
play,1,0,alvay001,12,CB1.SC,K
play,1,1,crawj002,10,BX,HR/F9LD
play,1,1,rodrj007,32,BBBCFF*B,W
play,1,1,suare001,31,BBBCB,W.1-2
play,1,1,hernt002,22,*BBCF>S,K+SB3
play,1,1,moord002,32,BBCFBX,5/L56+
play,1,1,frant002,02,CFS,K
play,2,0,tuckk001,01,CX,43/G4
play,2,0,abrej003,22,SF.FBBS,K
play,2,0,branm003,22,CF.BBX,D9/G3
play,2,0,dubom001,02,SFFFS,K
play,2,1,ralec001,00,X,63/G56+
play,2,1,haggs001,32,CBCBFB.B,W
play,2,1,cabaj001,02,CC.>S,K+SB2
play,2,1,crawj002,31,BBBCB,W
play,2,1,rodrj007,02,FS.*S,K.BX1(23)
play,3,0,penaj004,00,X,31/G34
play,3,0,maldm001,12,CCBFX,9/F9D+
play,3,0,altuj001,11,CBX,S7/G56+
play,3,0,brega001,12,CBCX,54(1)/FO/G56.B-1
play,3,1,suare001,32,CSBBBS,K
play,3,1,hernt002,02,SS.S,K
play,3,1,moord002,02,CCX,D7/G5
play,3,1,frant002,01,FX,63/G6
play,4,0,alvay001,11,BCX,HR/L8XD
play,4,0,tuckk001,10,BX,7/F78D
play,4,0,abrej003,11,BFX,S8/G6M
play,4,0,branm003,11,CBX,S8/G4M.1-3
play,4,0,dubom001,10,BX,HR/F78XD.3-H;1-H
play,4,0,penaj004,12,BFS.X,43/G4
play,4,0,maldm001,22,BCF.BS,K
play,4,1,ralec001,12,BFF.FX,S9/L9
play,4,1,haggs001,00,X,S56/G5+.1-2
play,4,1,cabaj001,11,S*BX,64(1)/FO/G6.2-3;B-1
play,4,1,crawj002,31,CBB1*BB,W.1-2
play,4,1,rodrj007,22,BFFBS,K
play,4,1,suare001,10,BX,S7/L7.3-H;2-H;1-2
play,4,1,hernt002,00,X,64(1)/FO/G6M.B-1
play,5,0,altuj001,00,,NP
sub,speig001,"Gabe Speier",1,0,1
play,5,0,altuj001,32,.BCBCFBX,D8/L89XD+
play,5,0,brega001,01,CX,9/F9LD.2-3
play,5,0,alvay001,30,VVVV,IW
play,5,0,tuckk001,00,X,7/F78S
play,5,0,abrej003,00,,NP
sub,topaj001,"Justin Topa",1,0,1
play,5,0,abrej003,12,.CBS.FX,64(1)/FO/G6.B-1
play,5,1,moord002,00,,NP
