id,SEA202304220
version,2
info,visteam,SLN
info,hometeam,SEA
info,site,SEA03
info,date,2023/04/22
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,morag901
info,ump1b,iassd901
info,ump2b,becka901
info,ump3b,vondc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/13 09:01:16
info,howscored,unknown
info,pitches,pitches
info,oscorer,padud701
info,temp,59
info,winddir,fromlf
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,149
info,attendance,38732
info,wp,brasm001
info,lp,thomz002
info,save,sewap001
start,nootl001,"Lars Nootbaar",0,1,9
start,burla001,"Alec Burleson",0,2,10
start,goldp001,"Paul Goldschmidt",0,3,3
start,arenn001,"Nolan Arenado",0,4,5
start,contw001,"Willson Contreras",0,5,2
start,gormn001,"Nolan Gorman",0,6,4
start,oneit001,"Tyler O'Neill",0,7,7
start,carld002,"Dylan Carlson",0,8,8
start,edmat001,"Tommy Edman",0,9,6
start,mikom001,"Miles Mikolas",0,0,1
start,rodrj007,"Julio Rodriguez",1,1,8
start,frant002,"Ty France",1,2,3
start,suare001,"Eugenio Suarez",1,3,5
start,ralec001,"Cal Raleigh",1,4,2
start,hernt002,"Teoscar Hernandez",1,5,9
start,kelej001,"Jarred Kelenic",1,6,7
start,polla001,"AJ Pollock",1,7,10
start,wongk001,"Kolten Wong",1,8,4
start,crawj002,"J.P. Crawford",1,9,6
start,castl003,"Luis Castillo",1,0,1
play,1,0,nootl001,22,BCBS.X,S7/G5
play,1,0,burla001,00,X,S8/G4.1-3
play,1,0,goldp001,22,CBSBFX,4/P34D
play,1,0,arenn001,01,CX,S9/L89D.3-H;1-3
play,1,0,contw001,12,CCBS,K
play,1,0,gormn001,32,BFFFBB>B,W.1-2
play,1,0,oneit001,12,BCST,K
play,1,1,rodrj007,01,CX,63/G6
play,1,1,frant002,32,BBFFBB,W
play,1,1,suare001,01,CX,8/F8D+
play,1,1,ralec001,11,BSX,63/G6M
play,2,0,carld002,12,CBS.X,3/G34
play,2,0,edmat001,31,BBFBX,8/F8S
play,2,0,nootl001,12,SFBFFS,K
play,2,1,hernt002,22,BBCFFS,K
play,2,1,kelej001,00,X,HR/F7D
play,2,1,polla001,12,CF.BX,D8/L89XD
play,2,1,wongk001,12,CF*BFX,9/F9L
play,2,1,crawj002,32,BCBFBFFB,W
play,2,1,rodrj007,02,CSX,53/G56S
play,3,0,burla001,01,CX,S9/G34
play,3,0,goldp001,32,CBBBFFFX,4/P3D
play,3,0,arenn001,22,BCBTS,K
play,3,0,contw001,02,SSFX,D98/L89D+.1-H
play,3,0,gormn001,00,X,D9/L9LD+.2-H
play,3,0,oneit001,32,SBBSBX,9/F1S
play,3,1,frant002,21,CBBX,4/P4
play,3,1,suare001,22,CBFBC,K
play,3,1,ralec001,00,X,7/F7LS
play,4,0,carld002,12,CBFS,K
play,4,0,edmat001,01,CX,S9/G4
play,4,0,nootl001,21,1BBF>B,SB2
play,4,0,nootl001,31,1BBF>B.B,W
play,4,0,burla001,12,FS2BT,K
play,4,0,goldp001,00,X,9/F89XD+
play,4,1,hernt002,32,BFCBFBX,9/F9LS
play,4,1,kelej001,21,BCBX,D9/L89XD
play,4,1,polla001,02,FSC,K
play,4,1,wongk001,01,CX,53/G56S
play,5,0,arenn001,22,BSBFFC,K
play,5,0,contw001,00,X,9/F9D
play,5,0,gormn001,32,BCFBBFT,K
play,5,1,crawj002,21,CBBX,7/F7LD
play,5,1,rodrj007,02,CFF.X,53/G56
play,5,1,frant002,02,CC*S,K
play,6,0,oneit001,00,,NP
sub,murfp001,"Penn Murfee",1,0,1
play,6,0,oneit001,02,.FCFFX,53/G56
play,6,0,carld002,02,CCC,K
play,6,0,edmat001,00,X,6/L6MD
play,6,1,suare001,00,X,63/G6
play,6,1,ralec001,32,BFFB.FFBX,S9/L9L
play,6,1,hernt002,32,*BBBCCFX,HR/F89XD.1-H
play,6,1,kelej001,00,,NP
sub,thomz002,"Zack Thompson",0,0,1
play,6,1,kelej001,32,.BCBBF.S,K
play,6,1,polla001,12,CFBX,5/L5D
play,7,0,nootl001,00,,NP
sub,brasm001,"Matt Brash",1,0,1
play,7,0,nootl001,12,.BFCS,K
play,7,0,burla001,22,BCBCH,HP
play,7,0,goldp001,32,CCBBBS,K
play,7,0,arenn001,12,CF1BFS,K
play,7,1,wongk001,30,BBBB,W
play,7,1,crawj002,10,BX,S8/L8D.1-2
play,7,1,rodrj007,00,,NP
sub,gallg001,"Giovanny Gallegos",0,0,1
play,7,1,rodrj007,00,.X,8/L8D
play,7,1,frant002,22,CBS*BFX,13/G1S-.2-3;1-2
play,7,1,suare001,01,CX,S7/L7LD.3-H;2-H
play,7,1,ralec001,32,BBSBS.>F>S,K
play,8,0,contw001,00,,NP
sub,topaj001,"Justin Topa",1,0,1
play,8,0,contw001,02,.CF.X,S8/L8D
play,8,0,gormn001,02,CCX,56(1)3/GDP/G56
play,8,0,oneit001,02,FCS,K
play,8,1,hernt002,11,BFX,6/L6D
play,8,1,kelej001,00,,NP
sub,cabrg001,"Genesis Cabrera",0,0,1
play,8,1,kelej001,01,.FX,43/G34
play,8,1,polla001,12,CFBS,K
play,9,0,carld002,00,,NP
sub,sewap001,"Paul Sewald",1,0,1
play,9,0,carld002,02,.CCS,K
play,9,0,edmat001,00,X,HR/F9LD
play,9,0,nootl001,12,FCBC,K
play,9,0,burla001,12,FS.BFX,8/F78XD
data,er,mikom001,3
data,er,thomz002,2
data,er,gallg001,0
