id,TEX202206220
version,2
info,visteam,PHI
info,hometeam,TEX
info,site,ARL03
info,date,2022/06/22
info,number,0
info,starttime,3:05PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,conrc901
info,ump1b,segac901
info,ump2b,barkl901
info,ump3b,ramoc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:30
info,howscored,unknown
info,pitches,pitches
info,oscorer,bumpl701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,192
info,attendance,20704
info,wp,grayj003
info,lp,wheez001
info,save,barlj001
start,schwk001,"Kyle Schwarber",0,1,7
start,hoskr001,"Rhys Hoskins",0,2,3
start,harpb003,"Bryce Harper",0,3,10
start,castn001,"Nick Castellanos",0,4,9
start,realj001,"J.T. Realmuto",0,5,2
start,gregd001,"Didi Gregorius",0,6,6
start,herro001,"Odubel Herrera",0,7,8
start,bohma001,"Alec Bohm",0,8,5
start,stotb001,"Bryson Stott",0,9,4
start,wheez001,"Zack Wheeler",0,0,1
start,semim001,"Marcus Semien",1,1,4
start,seagc001,"Corey Seager",1,2,6
start,garca005,"Adolis Garcia",1,3,8
start,calhk001,"Kole Calhoun",1,4,9
start,heimj001,"Jonah Heim",1,5,2
start,lowen001,"Nathaniel Lowe",1,6,3
start,smitj007,"Josh H. Smith",1,7,7
start,durae002,"Ezequiel Duran",1,8,5
start,millb002,"Brad Miller",1,9,10
start,grayj003,"Jon Gray",1,0,1
play,1,0,schwk001,22,SBCBC,K
play,1,0,hoskr001,02,CCX,53/G56
play,1,0,harpb003,32,BFBSBFF*B,W
play,1,0,castn001,02,CFX,8/L8D
play,1,1,semim001,22,CBBSS,K
play,1,1,seagc001,00,X,S7/L56D
play,1,1,garca005,02,CSS,K
play,1,1,calhk001,22,1C*BF*BC,K
play,2,0,realj001,12,CBFFX,4/L4MD
play,2,0,gregd001,00,X,8/L8D+
play,2,0,herro001,31,BBBCX,43/G34+
play,2,1,heimj001,31,BBFBB,W
play,2,1,lowen001,00,X,E3/G3S.1-2;B-1
play,2,1,smitj007,01,LX,56(1)/FO/BG56S.2-3;B-1
play,2,1,durae002,12,1C1FFBS,K
play,2,1,millb002,12,BCF1>X,S9/G4.3-H(UR);1-H(UR)
play,2,1,semim001,32,B1BCS*B>T,K
play,3,0,bohma001,32,CCFFBFBBX,S7/L78D
play,3,0,stotb001,21,CB+1BX,8/F8XD+
play,3,0,schwk001,10,BX,HR/F8XD+.1-H
play,3,0,hoskr001,12,CSFFFBFFS,K
play,3,0,harpb003,12,CBSX,8/F8XD
play,3,1,seagc001,10,BX,D9/L9LD+
play,3,1,garca005,02,SCX,43/G4MD+.2-3
play,3,1,calhk001,00,X,S8/G6M.3-H
play,3,1,heimj001,32,CBBCFFB>B,W.1-2
play,3,1,lowen001,32,BBCCBB,W.2-3;1-2
play,3,1,smitj007,32,SBFFFFB*BS,K
play,3,1,durae002,22,CFBBX,3/L34
play,4,0,castn001,02,CSX,63/G6
