id,LAN202305310
version,2
info,visteam,WAS
info,hometeam,LAN
info,site,LOS03
info,date,2023/05/31
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,tosia901
info,ump1b,randt901
info,ump2b,ticht901
info,ump3b,knigb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/13 09:05:22
info,howscored,unknown
info,pitches,pitches
info,oscorer,whitj701
info,temp,65
info,winddir,unknown
info,windspeed,2
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,169
info,attendance,36552
info,wp,finnk001
info,lp,gratb002
info,save,harvh001
start,thoml002,"Lane Thomas",0,1,9
start,garcl006,"Luis Garcia",0,2,4
start,menej001,"Joey Meneses",0,3,10
start,dickc002,"Corey Dickerson",0,4,7
start,candj002,"Jeimer Candelario",0,5,5
start,smitd008,"Dominic Smith",0,6,3
start,ruizk001,"Keibert Ruiz",0,7,2
start,abrac001,"CJ Abrams",0,8,6
start,calla002,"Alex Call",0,9,8
start,corbp001,"Patrick Corbin",0,0,1
start,bettm001,"Mookie Betts",1,1,9
start,freef001,"Freddie Freeman",1,2,3
start,smitw003,"Will Smith",1,3,2
start,martj006,"J.D. Martinez",1,4,10
start,muncm001,"Max Muncy",1,5,5
start,taylc001,"Chris Taylor",1,6,7
start,vargm001,"Miguel Vargas",1,7,4
start,rojam002,"Miguel Rojas",1,8,6
start,thomt002,"Trayce Thompson",1,9,8
start,syndn001,"Noah Syndergaard",1,0,1
play,1,0,thoml002,32,CFBBBX,8/L8D
play,1,0,garcl006,22,CBBFC,K
play,1,0,menej001,31,BBBCX,S8/G4M+
play,1,0,dickc002,31,BBCBX,43/G34
play,1,1,bettm001,21,BCBX,HR/F7D
play,1,1,freef001,00,X,S7/L78XD+
play,1,1,smitw003,01,CX,HR/F89XD.1-H
play,1,1,martj006,31,CBBBB,W
play,1,1,muncm001,10,BX,36(1)3/GDP/G34
play,1,1,taylc001,00,X,S8/L8D
play,1,1,vargm001,01,C>B,SB2
play,1,1,vargm001,21,C>B.BX,6/F56D
play,2,0,candj002,32,CBBBFB,W
play,2,0,smitd008,11,BFX,46(1)3/GDP/G34
play,2,0,ruizk001,31,BFBBX,HR/F89XD
play,2,0,abrac001,11,FBX,HR/F89XD
play,2,0,calla002,10,BX,7/F7S
play,2,1,rojam002,01,.CX,4/L4
play,2,1,thomt002,12,CCBS,K
play,2,1,bettm001,01,.CX,63/G6D
play,3,0,thoml002,00,X,13/G2-
play,3,0,garcl006,02,CFC,K
play,3,0,menej001,00,X,S8/G6M+
play,3,0,dickc002,32,CBBBC>B,W.1-2
play,3,0,candj002,32,BBCBC>X,S9/G34.2-H;1-3
play,3,0,smitd008,01,FX,8/F78S
play,3,1,freef001,32,CBBFBX,E4/G34D.B-1
play,3,1,smitw003,01,1C>B,SB2
play,3,1,smitw003,21,1C>B.BX,S9/L9S+.2-3;B-2
play,3,1,martj006,32,FBBFBB,W
play,3,1,muncm001,30,BBBB,W.3-H(UR);2-3;1-2
play,3,1,taylc001,22,FCF*BBS,K
play,3,1,vargm001,01,TX,3/P3F/FL
play,3,1,rojam002,02,CF.X,64(1)/FO/G6.B-1
play,4,0,ruizk001,02,CCFX,1/G23
play,4,0,abrac001,22,BFFBX,63/G6MD+
play,4,0,calla002,32,BFS.BFBH,HP
play,4,0,thoml002,00,>B,SB2
play,4,0,thoml002,10,>B.X,3/P34D
play,4,1,thomt002,31,FBBBX,S7/L7D+
play,4,1,bettm001,01,C1X,9/F9D
