id,SEA202309290
version,2
info,visteam,TEX
info,hometeam,SEA
info,site,SEA03
info,date,2023/09/29
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,carlm901
info,ump1b,gibsh902
info,ump2b,millb903
info,ump3b,blakr901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/06 09:13:11
info,howscored,unknown
info,pitches,pitches
info,oscorer,peted701
info,temp,55
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,169
info,attendance,45274
info,wp,thort002
info,lp,eovan001
info,save,
start,semim001,"Marcus Semien",0,1,4
start,seagc001,"Corey Seager",0,2,6
start,garvm001,"Mitch Garver",0,3,10
start,garca005,"Adolis Garcia",0,4,9
start,lowen001,"Nathaniel Lowe",0,5,3
start,jungj001,"Josh Jung",0,6,5
start,heimj001,"Jonah Heim",0,7,2
start,tavel001,"Leody Taveras",0,8,8
start,carte001,"Evan Carter",0,9,7
start,eovan001,"Nathan Eovaldi",0,0,1
start,crawj002,"J.P. Crawford",1,1,6
start,rodrj007,"Julio Rodriguez",1,2,8
start,suare001,"Eugenio Suarez",1,3,5
start,ralec001,"Cal Raleigh",1,4,2
start,hernt002,"Teoscar Hernandez",1,5,9
start,fordm002,"Mike Ford",1,6,10
start,frant002,"Ty France",1,7,3
start,kelej001,"Jarred Kelenic",1,8,7
start,rojaj001,"Josh Rojas",1,9,4
start,woo-b001,"Bryan Woo",1,0,1
play,1,0,semim001,12,BCCC,K
play,1,0,seagc001,30,BBBB,W
play,1,0,garvm001,32,CSBBFBC,K
play,1,0,garca005,32,BSCB.B>*B,W.1-2
play,1,0,lowen001,32,FC*BFFBB>S,K
play,1,1,crawj002,12,CSBT,K
play,1,1,rodrj007,02,SFS,K
play,1,1,suare001,20,BBX,53/G56S
play,2,0,jungj001,22,BTBFX,S8/L8S
play,2,0,heimj001,21,BSBX,7/F7S
play,2,0,tavel001,32,BBBCF.X,8/F8D
play,2,0,carte001,22,CSBBC,K
play,2,1,ralec001,02,CS.X,5/L6
play,2,1,hernt002,32,CBSBBX,63/G6
play,2,1,fordm002,22,SCFBFBS,K
play,3,0,semim001,00,X,S8/G6M
play,3,0,seagc001,31,BBSBB,W.1-2
play,3,0,garvm001,11,CBX,9/F9D.2-3
play,3,0,garca005,02,SS.S,K
play,3,0,lowen001,22,BFFBFH,HP.1-2
play,3,0,jungj001,32,BBSBF>X,7/F78S
play,3,1,frant002,11,SBX,HR/F7LD
play,3,1,kelej001,32,FBSFBB.X,43/G34
play,3,1,rojaj001,10,BX,HR/F9D
play,3,1,crawj002,30,BBBB,W
play,3,1,rodrj007,02,CFS,K
play,3,1,suare001,32,BBFBC>X,D8/L8XD+.1-H
play,3,1,ralec001,20,*BBX,6/F8S
play,4,0,heimj001,12,FS.BX,7/F78D
play,4,0,tavel001,22,CBBC.X,31/G3
play,4,0,carte001,00,,NP
sub,sauct001,"Tayler Saucedo",1,0,1
play,4,0,carte001,12,.BCS.S,K
play,4,1,hernt002,01,SX,S67/G56
play,4,1,fordm002,30,BBBB,W.1-2
play,4,1,frant002,32,BCFFFBF2*BH,HP.2-3;1-2
play,4,1,kelej001,32,.BSCBBFS,K
play,4,1,rojaj001,12,CC.BX,S8/G4M.3-H;2-3;1-2
play,4,1,crawj002,00,,NP
sub,burkb001,"Brock Burke",0,0,1
play,4,1,crawj002,31,.BFBBX,HR/L9LD.3-H;2-H;1-H
play,4,1,rodrj007,11,BFX,53/G5
play,4,1,suare001,22,SBBFC,K
play,5,0,semim001,10,BX,S8/L78
play,5,0,seagc001,32,BC*BBFF.FX,8/L78D
