id,ARI202205140
version,2
info,visteam,CHN
info,hometeam,ARI
info,site,PHO01
info,date,2022/05/14
info,number,0
info,starttime,5:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,barrt901
info,ump1b,barkl901
info,ump2b,lentn901
info,ump3b,cejan901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:44
info,howscored,unknown
info,pitches,pitches
info,oscorer,johnj701
info,temp,104
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,202
info,attendance,25169
info,wp,givem001
info,lp,melam001
info,save,wickr001
start,contw001,"Willson Contreras",0,1,10
start,suzus001,"Seiya Suzuki",0,2,9
start,happi001,"Ian Happ",0,3,7
start,gomey001,"Yan Gomes",0,4,2
start,wisdp001,"Patrick Wisdom",0,5,5
start,schwf001,"Frank Schwindel",0,6,3
start,heywj001,"Jason Heyward",0,7,8
start,villj001,"Jonathan Villar",0,8,4
start,vargi001,"Ildemaro Vargas",0,9,6
start,hendk001,"Kyle Hendricks",0,0,1
start,varsd001,"Daulton Varsho",1,1,10
start,smitp002,"Pavin Smith",1,2,9
start,perad001,"David Peralta",1,3,7
start,walkc002,"Christian Walker",1,4,3
start,rojaj001,"Josh Rojas",1,5,5
start,martk001,"Ketel Marte",1,6,4
start,thoma004,"Alek Thomas",1,7,8
start,ahmen001,"Nick Ahmed",1,8,6
start,herrj003,"Jose Herrera",1,9,2
start,gallz001,"Zac Gallen",1,0,1
play,1,0,contw001,22,SBCFBS,K
play,1,0,suzus001,20,BBX,9/F9LD
play,1,0,happi001,01,CX,S8/F8S
play,1,0,gomey001,02,CS1X,7/F78D
play,1,1,varsd001,32,BCBBFC,K
play,1,1,smitp002,02,CCFC,K
play,1,1,perad001,32,CBBCFBB,W
play,1,1,walkc002,31,BSBBH,HP.1-2
play,1,1,rojaj001,02,CFX,7/F7LD
play,2,0,wisdp001,32,CSBBBX,3/G34
play,2,0,schwf001,02,CFS,K
play,2,0,heywj001,12,BCFS,K
play,2,1,martk001,31,CBBBB,W
play,2,1,thoma004,02,C1S1X,43/G34.1-2
play,2,1,ahmen001,22,BFFBX,S8/G6.2-H
play,2,1,herrj003,12,1CS>FB11X,8/L8D+
play,2,1,varsd001,11,F1*BX,8/L8
play,3,0,villj001,00,X,3/G3
play,3,0,vargi001,22,CBCBX,43/G4
play,3,0,contw001,02,FFC,K
play,3,1,smitp002,32,BCCBBX,S8/L8D+
play,3,1,perad001,22,FFBF*BX,46(1)/FO/G34.B-1
com,"$D-backs challenged (play at 1st), call on the field was overturned."
play,3,1,walkc002,01,CX,5/L56.1-2(E5/TH)
play,3,1,rojaj001,20,B*BX,7/F7D
play,4,0,suzus001,32,CBBCBFFFFC,K
play,4,0,happi001,12,BCSX,6/P6MD
play,4,0,gomey001,01,FX,HR/F7D
play,4,0,wisdp001,22,BCCBS,K
play,4,1,martk001,00,X,8/F8XD+
play,4,1,thoma004,01,CX,S6/G6
play,4,1,ahmen001,21,BB1SX,9/F9LSF/FL
play,4,1,herrj003,01,C+11,PO1(E1/TH).1-2
play,4,1,herrj003,01,C+11.X,2/P2F/FL
play,5,0,schwf001,22,BFSFFBX,8/F8XD+
play,5,0,heywj001,22,CBCB*S,K
play,5,0,villj001,22,BCFBFS,K
play,5,1,varsd001,20,BBX,D9/L9L
play,5,1,smitp002,00,X,6/F56D
play,5,1,perad001,01,SX,9/F9
play,5,1,walkc002,11,CBX,63/G6
play,6,0,vargi001,32,BBCBCB,W
play,6,0,contw001,22,1FBFF1BFS,K
play,6,0,suzus001,20,1B*BX,7/F7S
play,6,0,happi001,22,B1SBS>X,63/G4S
play,6,1,rojaj001,11,CBX,8/F89
play,6,1,martk001,22,CFBBX,9/F9LD
play,6,1,thoma004,31,BBCBX,D7/F7LD
play,6,1,ahmen001,00,,NP
