id,ARI202307300
version,2
info,visteam,SEA
info,hometeam,ARI
info,site,PHO01
info,date,2023/07/30
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,buckc901
info,ump1b,may-b901
info,ump2b,nelsj901
info,ump3b,segac901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/25 09:03:58
info,howscored,unknown
info,pitches,pitches
info,oscorer,lagrp701
info,temp,78
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,153
info,attendance,35295
info,wp,castl003
info,lp,kellm002
info,save,
start,crawj002,"J.P. Crawford",0,1,6
start,rodrj007,"Julio Rodriguez",0,2,8
start,suare001,"Eugenio Suarez",0,3,5
start,ralec001,"Cal Raleigh",0,4,2
start,hernt002,"Teoscar Hernandez",0,5,9
start,fordm002,"Mike Ford",0,6,10
start,frant002,"Ty France",0,7,3
start,marlc001,"Cade Marlowe",0,8,7
start,wongk001,"Kolten Wong",0,9,4
start,castl003,"Luis Castillo",0,0,1
start,perdg001,"Geraldo Perdomo",1,1,6
start,martk001,"Ketel Marte",1,2,10
start,carrc005,"Corbin Carroll",1,3,8
start,walkc002,"Christian Walker",1,4,3
start,canzd001,"Dominic Canzone",1,5,9
start,gurrl001,"Lourdes Gurriel Jr.",1,6,7
start,rojaj001,"Josh Rojas",1,7,4
start,rivee001,"Emmanuel Rivera",1,8,5
start,herrj003,"Jose Herrera",1,9,2
start,kellm002,"Merrill Kelly",1,0,1
play,1,0,crawj002,32,BTCBBFB,W
play,1,0,rodrj007,01,S1X,S7/G56.1-2
play,1,0,suare001,12,BFFS,K
play,1,0,ralec001,22,BCCFBFX,7/F7S
play,1,0,hernt002,02,SSX,S9/L9S.2-3;1-2
play,1,0,fordm002,30,*BBBB,W.3-H;2-3;1-2
play,1,0,frant002,11,CBX,S7/G56.3-H;2-3;1-2
play,1,0,marlc001,32,CCFBFBFB>F>F>X,3/G3
play,1,1,perdg001,12,C.BCX,7/F7
play,1,1,martk001,32,CBF.BFBX,7/F78S
play,1,1,carrc005,01,CX,5/P6S-
play,2,0,wongk001,00,X,5/P1S
play,2,0,crawj002,31,CBBBX,HR/F9LD
play,2,0,rodrj007,11,BSX,4/F34D
play,2,0,suare001,00,X,S7/L78S
play,2,0,ralec001,30,*B1BBX,3/P34S
play,2,1,walkc002,12,CFFFBFH,HP
play,2,1,canzd001,12,CFBX,3/L3/DP.1X1(3)
play,2,1,gurrl001,32,BCF.BBX,S8/L89S
play,2,1,rojaj001,22,BCB.FFS,K
play,3,0,hernt002,02,FS.S,K
play,3,0,fordm002,10,BX,S9/L9LD+
play,3,0,frant002,11,BCX,S7/L7S.1-2
play,3,0,marlc001,01,FX,9/F9.2-3
play,3,0,wongk001,10,BX,43/G34
play,3,1,rivee001,32,BBBCSFB,W
play,3,1,herrj003,12,CCBS,K
play,3,1,perdg001,22,CBFBFT,K
play,3,1,martk001,22,SBBFF.X,S5/G6-.1-2
play,3,1,carrc005,02,CTS,K
play,4,0,crawj002,22,BCBFC,K
play,4,0,rodrj007,12,FBF.X,53/G56
play,4,0,suare001,12,FCBS,K
play,4,1,walkc002,11,BFX,E6/G6.B-1
play,4,1,canzd001,02,SS.X,4/L34/DP.1X1(43)
play,4,1,gurrl001,02,CF.X,43/G4
play,5,0,ralec001,02,CFS,K
play,5,0,hernt002,00,X,8/L8D+
play,5,0,fordm002,12,CCFFBC,K
play,5,1,rojaj001,32,FBFF.BBX,8/F8XD+
play,5,1,rivee001,22,BCBSS,K
play,5,1,herrj003,02,CS.X,7/F7D
play,6,0,frant002,00,,NP
sub,gilbt001,"Tyler Gilbert",1,0,1
play,6,0,frant002,32,.BSBFBX,31/G34
play,6,0,marlc001,32,SBFBFBFS,K
play,6,0,wongk001,12,SCBS,K
play,6,1,perdg001,22,CBSFBX,31/G3
play,6,1,martk001,32,BFBBFS,K
play,6,1,carrc005,12,SBC.S,K
play,7,0,crawj002,31,BFBBB,W
play,7,0,rodrj007,32,BB1CFB.C,K
play,7,0,suare001,02,CS*S,K
play,7,0,ralec001,02,SF1FS,K
play,7,1,walkc002,00,,NP
sub,topaj001,"Justin Topa",0,0,1
play,7,1,walkc002,12,.BCF.C,K
play,7,1,canzd001,12,BSFX,63/G6MS
play,7,1,gurrl001,00,X,8/F8XD
play,8,0,hernt002,00,,NP
sub,adama002,"Austin Adams",1,0,1
play,8,0,hernt002,12,.CS.BC,K
play,8,0,fordm002,12,CBFT,K
play,8,0,frant002,22,BSBSFX,S8/L8
play,8,0,marlc001,31,SBBBB,W.1-2
play,8,0,wongk001,01,CX,3/G3
play,8,1,rojaj001,00,,NP
sub,brasm001,"Matt Brash",0,0,1
play,8,1,rojaj001,32,.BBC.FBX,8/F78D
play,8,1,rivee001,00,X,S9/G3+
play,8,1,herrj003,00,,NP
sub,thoma004,"Alek Thomas",1,9,11
play,8,1,thoma004,12,.CCB*S,K
play,8,1,perdg001,12,CBC*S,K.BX1(23)
play,9,0,crawj002,00,,NP
sub,kellc002,"Carson Kelly",1,9,2
play,9,0,crawj002,00,.,NP
sub,sulsc001,"Cole Sulser",1,0,1
play,9,0,crawj002,00,..X,D8/L78XD
play,9,0,rodrj007,11,FBX,4/L4+
play,9,0,suare001,01,CX,S8/L78D.2-H
play,9,0,ralec001,12,CSBF.X,5/L56-
play,9,0,hernt002,00,X,9/F9D+
play,9,1,martk001,00,,NP
sub,sauct001,"Tayler Saucedo",0,0,1
play,9,1,martk001,02,.CFS,K
play,9,1,carrc005,32,BCSBFFBFX,13/G34S
play,9,1,walkc002,02,CS.S,K
data,er,topaj001,0
data,er,brasm001,0
data,er,castl003,0
data,er,sauct001,0
data,er,kellm002,3
data,er,adama002,0
data,er,sulsc001,1
data,er,gilbt001,0
