id,MIN202308270
version,2
info,visteam,TEX
info,hometeam,MIN
info,site,MIN04
info,date,2023/08/27
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,bacoj901
info,ump1b,blasc901
info,ump2b,torrc901
info,ump3b,viscj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/31 09:04:17
info,howscored,unknown
info,pitches,pitches
info,oscorer,thors701
info,temp,71
info,winddir,tolf
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,250
info,attendance,24431
info,wp,flord002
info,lp,hernj004
info,save,
start,semim001,"Marcus Semien",0,1,4
start,seagc001,"Corey Seager",0,2,6
start,lowen001,"Nathaniel Lowe",0,3,3
start,garvm001,"Mitch Garver",0,4,10
start,grosr001,"Robbie Grossman",0,5,7
start,martj012,"J.P. Martinez",0,6,9
start,heimj001,"Jonah Heim",0,7,2
start,smitj007,"Josh H. Smith",0,8,5
start,tavel001,"Leody Taveras",0,9,8
start,montj004,"Jordan Montgomery",0,0,1
start,solad001,"Donovan Solano",1,1,3
start,polaj001,"Jorge Polanco",1,2,4
start,luplj001,"Jordan Luplow",1,3,7
start,corrc001,"Carlos Correa",1,4,6
start,lewir003,"Royce Lewis",1,5,10
start,jeffr002,"Ryan Jeffers",1,6,2
start,farmk001,"Kyle Farmer",1,7,5
start,wallm001,"Matt Wallner",1,8,9
start,taylm002,"Michael A. Taylor",1,9,8
start,oberb002,"Bailey Ober",1,0,1
play,1,0,semim001,02,FCFX,7/F7D
play,1,0,seagc001,11,BFX,7/F7
play,1,0,lowen001,12,SFBX,9/L9+
play,1,1,solad001,12,SFBFS,K
play,1,1,polaj001,12,BSFX,5/L5
play,1,1,luplj001,01,TX,9/F9
play,2,0,garvm001,22,CS.BFFBFS,K
play,2,0,grosr001,12,BCFX,13/G1S
play,2,0,martj012,22,BBCSFFX,HR/F9LD+
play,2,0,heimj001,22,CBBF.X,53/G6
play,2,1,corrc001,01,CX,7/F7L
play,2,1,lewir003,22,SS.BFBFT,K
play,2,1,jeffr002,12,BCF.C,K
play,3,0,smitj007,22,FBFBS,K
play,3,0,tavel001,12,CC.FBS,K
play,3,0,semim001,00,X,S5/G5
play,3,0,seagc001,00,X,7/F7D
play,3,1,farmk001,02,CCX,9/L89D
play,3,1,wallm001,00,X,6/L6MD
play,3,1,taylm002,32,.SBFBBX,9/F9
play,4,0,lowen001,11,BFX,D9/G3+
play,4,0,garvm001,01,FX,S9/F89S.2-3
play,4,0,grosr001,32,BFFBB.B,W.1-2
play,4,0,martj012,22,BFF*BFS,K
play,4,0,heimj001,00,X,HR/F9LD.3-H;2-H;1-H
play,4,0,smitj007,22,CCFBBX,7/F7
play,4,0,tavel001,01,CX,63/G4M
play,4,1,solad001,22,CBBTX,8/F8XD
play,4,1,polaj001,10,BX,S9/F9S
play,4,1,luplj001,01,CX,9/F9LS
play,4,1,corrc001,22,CBFF*BX,3/P3SF/FL
play,5,0,semim001,00,,NP
sub,keucd001,"Dallas Keuchel",1,0,1
play,5,0,semim001,02,.CFX,S9/L9
play,5,0,seagc001,31,B*BBFX,36(1)3/GDP/G3+
play,5,0,lowen001,00,X,43/G4D
play,5,1,lewir003,22,TBBS.X,53/G56
play,5,1,jeffr002,31,BSBBB,W
play,5,1,farmk001,00,X,S9/L89D.1-2
play,5,1,wallm001,10,BX,9/F9LD.2-3
