id,NYA202308240
version,2
info,visteam,WAS
info,hometeam,NYA
info,site,NYC21
info,date,2023/08/24
info,number,0
info,gametype,regular
info,starttime,1:05PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,littw901
info,ump1b,merzd901
info,ump2b,barkl901
info,ump3b,dejer901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/13 09:03:05
info,howscored,unknown
info,pitches,pitches
info,oscorer,kaplh701
info,temp,74
info,winddir,rtol
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,174
info,attendance,39681
info,wp,corbp001
info,lp,kahnt001
info,save,finnk001
start,abrac001,"CJ Abrams",0,1,6
start,thoml002,"Lane Thomas",0,2,9
start,menej001,"Joey Meneses",0,3,10
start,smitd008,"Dominic Smith",0,4,3
start,kiebc001,"Carter Kieboom",0,5,5
start,vargi001,"Ildemaro Vargas",0,6,4
start,adamr004,"Riley Adams",0,7,2
start,alu-j001,"Jake Alu",0,8,7
start,calla002,"Alex Call",0,9,8
start,corbp001,"Patrick Corbin",0,0,1
start,lemad001,"DJ LeMahieu",1,1,3
start,judga001,"Aaron Judge",1,2,9
start,torrg001,"Gleyber Torres",1,3,4
start,stanm004,"Giancarlo Stanton",1,4,10
start,badeh001,"Harrison Bader",1,5,8
start,volpa001,"Anthony Volpe",1,6,6
start,peree005,"Everson Pereira",1,7,7
start,higak001,"Kyle Higashioka",1,8,2
start,perao002,"Oswald Peraza",1,9,5
start,kingm002,"Michael King",1,0,1
play,1,0,abrac001,22,FBCBX,8/F8XD+
play,1,0,thoml002,02,SFX,43/G4
play,1,0,menej001,22,CCBFBC,K
play,1,1,lemad001,21,BFBX,43/G4
play,1,1,judga001,00,X,HR/F89XD
play,1,1,torrg001,10,BX,S7/L7
play,1,1,stanm004,00,X,S9/L89XD+.1-3
play,1,1,badeh001,22,BC*BSFS,K
play,1,1,volpa001,01,CX,8/F8
play,2,0,smitd008,00,X,8/L8XD+
play,2,0,kiebc001,12,CBTX,S9/G4
play,2,0,vargi001,10,B1X,9/L9
play,2,0,adamr004,32,FC*BBB>S,K
play,2,1,peree005,12,SSB*S,K
play,2,1,higak001,10,BX,D9/F89XD
play,2,1,perao002,20,BBX,FC/G6.2X3(65);B-1
play,2,1,lemad001,11,BC1,POCS2(134)
play,3,0,alu-j001,32,FBFBBFB,W
play,3,0,calla002,01,1CX,23/SH/BG1S.1-2
play,3,0,abrac001,12,CB2CS,K
play,3,0,thoml002,32,BBCCBFB,W
play,3,0,menej001,01,CB,WP.2-3;1-2
play,3,0,menej001,11,CB.X,E6/G6.3-H(NR)(UR);2-3;B-1
play,3,0,smitd008,00,,NP
sub,middk001,"Keynan Middleton",1,0,1
play,3,0,smitd008,02,.FSFS,K
play,3,1,lemad001,31,BBCBB,W
play,3,1,judga001,30,*BBBX,3/P3F/FL
play,3,1,torrg001,01,CX,HR/F7LD.1-H
play,3,1,stanm004,32,BBBCFX,DGR/L9LD
play,3,1,badeh001,32,CB*B*BSC,K
play,3,1,volpa001,32,BBCFBX,7/F7
play,4,0,kiebc001,12,CS.BC,K
play,4,0,vargi001,00,X,43/G34D
play,4,0,adamr004,32,CFBBBF.S,K
play,4,1,peree005,02,FSC,K
play,4,1,higak001,00,X,9/F9L
play,4,1,perao002,12,CCB*S,K
play,5,0,alu-j001,00,,NP
sub,britj003,"Jhony Brito",1,0,1
play,5,0,alu-j001,32,.VBCBFFFT,K
play,5,0,calla002,32,BCS.FFBBFFFX,63/G6
play,5,0,abrac001,01,CX,63/G6M
play,5,1,lemad001,12,CCBX,S9/L9LD
play,5,1,judga001,11,C*BB,WP.1-2
play,5,1,judga001,31,C*BB.BB,W
play,5,1,torrg001,22,BF>FBX,64(1)/FO/G6.2-3;B-1
play,5,1,stanm004,10,BX,46(1)3/GDP/G4+
play,6,0,thoml002,12,CFBC,K
play,6,0,menej001,00,X,9/F9LS
play,6,0,smitd008,11,CBX,8/F8D
play,6,1,badeh001,02,SS*S,K.BX1(23)
play,6,1,volpa001,32,LBBSB.B,W
play,6,1,peree005,02,C1FS,K
play,6,1,higak001,00,1X,53/G56S
play,7,0,kiebc001,10,BX,D8/L89D
play,7,0,vargi001,21,CBBX,5/P2F/FL
play,7,0,adamr004,00,,NP
sub,kahnt001,"Tommy Kahnle",1,0,1
play,7,0,adamr004,02,.SFS,K
play,7,0,alu-j001,00,X,S68/G4M+.2-H
play,7,0,calla002,01,CX,HR/F78XD.1-H
play,7,0,abrac001,32,BFF.BVFFX,HR/F9LD
play,7,0,thoml002,02,CSS,K
play,7,1,perao002,00,,NP
