id,SLN202306240
version,2
info,visteam,CHN
info,hometeam,SLN
info,site,LON01
info,date,2023/06/24
info,number,0
info,gametype,regular
info,starttime,6:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hamaa901
info,ump1b,carav901
info,ump2b,mahrn901
info,ump3b,laynj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/01 09:06:38
info,howscored,unknown
info,pitches,pitches
info,oscorer,webbj701
info,temp,81
info,winddir,unknown
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,160
info,attendance,54662
info,wp,steej002
info,lp,waina001
info,save,
start,taucm001,"Mike Tauchman",0,1,8
start,hoern001,"Nico Hoerner",0,2,4
start,suzus001,"Seiya Suzuki",0,3,9
start,happi001,"Ian Happ",0,4,7
start,swand001,"Dansby Swanson",0,5,6
start,bellc002,"Cody Bellinger",0,6,3
start,morec001,"Christopher Morel",0,7,10
start,gomey001,"Yan Gomes",0,8,2
start,madrn001,"Nick Madrigal",0,9,5
start,steej002,"Justin Steele",0,0,1
start,edmat001,"Tommy Edman",1,1,8
start,goldp001,"Paul Goldschmidt",1,2,3
start,arenn001,"Nolan Arenado",1,3,5
start,contw001,"Willson Contreras",1,4,2
start,walkj003,"Jordan Walker",1,5,10
start,carld002,"Dylan Carlson",1,6,9
start,nootl001,"Lars Nootbaar",1,7,7
start,dejop001,"Paul DeJong",1,8,6
start,donob001,"Brendan Donovan",1,9,4
start,waina001,"Adam Wainwright",1,0,1
play,1,0,taucm001,32,BCBBTX,63/G6
play,1,0,hoern001,11,CBX,7/L7
play,1,0,suzus001,11,CBX,63/G6
play,1,1,edmat001,02,CFC,K
play,1,1,goldp001,12,CBFC,K
play,1,1,arenn001,20,BBX,7/F7D
play,2,0,happi001,22,FBFFVX,HR/F8XD
play,2,0,swand001,31,BBSBB,W
play,2,0,bellc002,00,X,6(1)3/GDP/G6M
play,2,0,morec001,00,X,S5/G5
play,2,0,gomey001,22,FBS*BX,S8/L8.1-3
play,2,0,madrn001,20,BBX,S8/L6MD.3-H;1-2
play,2,0,taucm001,21,CBBX,43/G34
play,2,1,contw001,00,X,9/L89+
play,2,1,walkj003,01,CX,53/G56S-
play,2,1,carld002,30,BBBB,W
play,2,1,nootl001,32,SBC*BB>X,43/G4
play,3,0,hoern001,11,FBX,8/F89D
play,3,0,suzus001,21,BBCX,9/L89
play,3,0,happi001,12,BCFX,HR/F9D
play,3,0,swand001,12,BCFFX,S7/L78S
play,3,0,bellc002,10,BX,S8/L8S.1-3
play,3,0,morec001,20,BBX,S8/L8S+.3-H;1-2
play,3,0,gomey001,10,BX,S8/L8S.2-H;1X3(835)
play,3,1,dejop001,32,CFBFFFBBS,K
play,3,1,donob001,10,BX,63/G6M
play,3,1,edmat001,22,BFF.BS,K
play,4,0,madrn001,32,BBCFBX,D9/L89
play,4,0,taucm001,32,S*BBSBFX,DGR/L7LD.2-H
play,4,0,hoern001,00,,NP
sub,matzs001,"Steven Matz",1,0,1
play,4,0,hoern001,01,.CX,9/L89.2-3
play,4,0,suzus001,31,CBBBX,FC5/G56.3-H;B-1
play,4,0,happi001,11,1BCX,64(1)3/GDP/G6
play,4,1,goldp001,31,BBBCX,53/G56
