id,ARI202205230
version,2
info,visteam,KCA
info,hometeam,ARI
info,site,PHO01
info,date,2022/05/23
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,blasc901
info,ump1b,hallt901
info,ump2b,rippm901
info,ump3b,cuzzp901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:54
info,howscored,unknown
info,pitches,pitches
info,oscorer,rausg701
info,temp,94
info,winddir,ltor
info,windspeed,16
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,216
info,attendance,14629
info,wp,wendj001
info,lp,greiz001
info,save,
start,merrw001,"Whit Merrifield",0,1,9
start,benia002,"Andrew Benintendi",0,2,7
start,wittb002,"Bobby Witt Jr.",0,3,6
start,dozih001,"Hunter Dozier",0,4,3
start,melem001,"MJ Melendez",0,5,2
start,santc002,"Carlos Santana",0,6,10
start,rivee001,"Emmanuel Rivera",0,7,5
start,isbek001,"Kyle Isbel",0,8,8
start,lopen001,"Nicky Lopez",0,9,4
start,greiz001,"Zack Greinke",0,0,1
start,varsd001,"Daulton Varsho",1,1,10
start,smitp002,"Pavin Smith",1,2,9
start,martk001,"Ketel Marte",1,3,4
start,walkc002,"Christian Walker",1,4,3
start,perad001,"David Peralta",1,5,7
start,mccaj003,"Jake McCarthy",1,6,8
start,perdg001,"Geraldo Perdomo",1,7,6
start,ellid002,"Drew Ellis",1,8,5
start,greig001,"Grayson Greiner",1,9,2
start,daviz001,"Zach Davies",1,0,1
play,1,0,merrw001,00,X,HR/L7D
play,1,0,benia002,32,CBBFBX,8/F8XD
play,1,0,wittb002,12,CBSX,HR/F7LD
play,1,0,dozih001,10,BX,HR/F7D
play,1,0,melem001,32,BFBSBB,W
play,1,0,santc002,11,CBX,S9/L9D+.1-3
play,1,0,rivee001,12,BCSFH,HP.1-2
play,1,0,isbek001,00,X,64(1)/FO/G6M.3-H;2-3;B-1
play,1,0,lopen001,22,C1FBFB1X,7/F78
play,1,1,varsd001,21,CBBX,D9/L9LD+
play,1,1,smitp002,22,CCBBX,HR/F9D.2-H
play,1,1,martk001,22,CBBSFS,K
play,1,1,walkc002,12,CBCX,HR/F9D
play,1,1,perad001,12,BCST,K
play,1,1,mccaj003,22,CBSBS,K
play,2,0,merrw001,12,BCFX,S6/G6
play,2,0,benia002,12,B1CF1>B,SB2.1-H(E2/TH)(E6/TH)(NR)(UR)
play,2,0,benia002,22,B1CF1>B.X,53/G4
play,2,0,wittb002,32,BFBBCX,63/G6
com,"$D-backs challenged (play at 1st), call on the field was overturned."
play,2,0,dozih001,12,CCBX,5/L2
play,2,1,perdg001,01,CX,6/L4D
play,2,1,ellid002,12,CSBS,K
play,2,1,greig001,32,CBFBBB,W
play,2,1,varsd001,11,FBX,43/G34
play,3,0,melem001,00,,NP
sub,hagej001,"Jake Hager",1,8,5
play,3,0,melem001,22,.BBCCX,S7/F7S
play,3,0,santc002,12,B1CFX,9/F9
play,3,0,rivee001,00,11X,4(1)3/GDP/G4M
play,3,1,smitp002,32,BCBFBFB,W
play,3,1,martk001,32,BCFBB1>B,W.1-2
play,3,1,walkc002,10,BX,5/L5
play,3,1,perad001,21,BBFX,S9/G34.2-H;1-3;B-2
play,3,1,mccaj003,12,TBSX,43/G34.3-H;2-3
play,3,1,perdg001,32,CC*BBBFX,6/L4M
play,4,0,isbek001,12,BSFC,K
play,4,0,lopen001,11,CBX,S6/G6
play,4,0,merrw001,32,1BCSB*B>FFS,K
play,4,0,benia002,31,B1BCBB,W.1-2
play,4,0,wittb002,00,X,S15/L1S+.2-3;1-2
play,4,0,dozih001,00,,NP
sub,wendj001,"J.B. Wendelken",1,0,1
play,4,0,dozih001,21,.BBCX,9/L89D+
play,4,1,hagej001,02,FFS,K
play,4,1,greig001,02,CFX,S8/G4M
