id,NYN202308090
version,2
info,visteam,CHN
info,hometeam,NYN
info,site,NYC20
info,date,2023/08/09
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,willr901
info,ump1b,marqa901
info,ump2b,dejer901
info,ump3b,barrl901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/24 10:02:43
info,howscored,unknown
info,pitches,pitches
info,oscorer,altmb701
info,temp,84
info,winddir,torf
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,186
info,attendance,37527
info,wp,hartg002
info,lp,wesnh001
info,save,bickp001
start,morec001,"Christopher Morel",0,1,10
start,hoern001,"Nico Hoerner",0,2,4
start,happi001,"Ian Happ",0,3,7
start,bellc002,"Cody Bellinger",0,4,8
start,swand001,"Dansby Swanson",0,5,6
start,suzus001,"Seiya Suzuki",0,6,9
start,candj002,"Jeimer Candelario",0,7,5
start,wisdp001,"Patrick Wisdom",0,8,3
start,amaym001,"Miguel Amaya",0,9,2
start,hendk001,"Kyle Hendricks",0,0,1
start,nimmb001,"Brandon Nimmo",1,1,8
start,alvaf001,"Francisco Alvarez",1,2,2
start,lindf001,"Francisco Lindor",1,3,6
start,alonp001,"Pete Alonso",1,4,3
start,mcnej002,"Jeff McNeil",1,5,9
start,almoa001,"Abraham Almonte",1,6,10
start,vienm001,"Mark Vientos",1,7,5
start,arauj001,"Jonathan Arauz",1,8,4
start,orter001,"Rafael Ortega",1,9,7
start,peted003,"David Peterson",1,0,1
play,1,0,morec001,00,X,HR/F7D
play,1,0,hoern001,12,CBS*S,K
play,1,0,happi001,22,BCFBS,K
play,1,0,bellc002,12,.CBCS,K
play,1,1,nimmb001,22,BCBFX,6/L6
play,1,1,alvaf001,22,CC.BBX,4/P4M
play,1,1,lindf001,12,CTBS,K
play,2,0,swand001,32,CFBBBC,K
play,2,0,suzus001,00,X,T9/L89XD+
play,2,0,candj002,11,SBS,PB.3-H(NR)
play,2,0,candj002,32,SBS.FBBX,53/G6
play,2,0,wisdp001,21,BSBX,8/L8
play,2,1,alonp001,31,CBBB.B,W
play,2,1,mcnej002,00,X,8/F78D
play,2,1,almoa001,10,B>C,SB2
play,2,1,almoa001,12,B>C.FS,K
play,2,1,vienm001,01,CX,31/G34
play,3,0,amaym001,12,BCS.S,K
play,3,0,morec001,31,BSBBB,W
play,3,0,hoern001,31,B11BCBB,W.1-2
play,3,0,happi001,32,BSBCBX,64(1)3/GDP/G6
play,3,1,arauj001,12,CBFS,K
play,3,1,orter001,10,BX,S7/G6
play,3,1,nimmb001,01,F>B,SB2
play,3,1,nimmb001,22,F>B.BSS,K
play,3,1,alvaf001,22,FFB*BX,53/G56
play,4,0,bellc002,12,FBFX,7/F78XD
play,4,0,swand001,00,X,63/G6
play,4,0,suzus001,00,X,S7/L7+
play,4,0,candj002,12,CBSX,S5/G5.1-2
play,4,0,wisdp001,00,,NP
sub,hartg002,"Grant Hartwig",1,0,1
play,4,0,wisdp001,12,.BCFC,K
play,4,1,lindf001,12,CBCX,S8/L8D+
play,4,1,alonp001,11,1CBX,HR/F78XD.1-H
play,4,1,mcnej002,02,FCX,53/G56S
play,4,1,almoa001,02,FCS,K
play,4,1,vienm001,11,CBX,53/G56S
play,5,0,amaym001,12,CFFBX,63/G6D
play,5,0,morec001,32,BCBCBFX,8/F8XD
play,5,0,hoern001,02,CC.FX,S9/G4
play,5,0,happi001,21,C1B+1BX,8/F78
play,5,1,arauj001,22,SBCBS,K
play,5,1,orter001,32,CBS.BBFX,8/F78D
play,5,1,nimmb001,31,CBBBX,S4/G34
play,5,1,alvaf001,32,CB1BFF*B.>X,S7/L7S.1-3
play,5,1,lindf001,32,BBFBF>F>*B,W.1-2
play,5,1,alonp001,22,CBSBX,43/G4
play,6,0,bellc002,12,BCFFX,7/F7
play,6,0,swand001,22,S.FBBS,K
play,6,0,suzus001,21,BBFX,43/G4
play,6,1,mcnej002,00,,NP
sub,wesnh001,"Hayden Wesneski",0,0,1
play,6,1,mcnej002,10,.BX,HR/L89XD
play,6,1,almoa001,00,X,D7/L7D+
play,6,1,vienm001,31,C*BBBX,FC6/G6.2-3;B-1
play,6,1,arauj001,22,CBFFBX,S9/L9S.3-H;1-2
play,6,1,orter001,00,,NP
sub,cuasj001,"Jose Cuas",0,0,1
play,6,1,orter001,12,.MBLL,K
play,6,1,nimmb001,32,BS*BBCS,K
play,6,1,alvaf001,11,SBX,7/F7D
play,7,0,candj002,00,,NP
sub,gottt001,"Trevor Gott",1,0,1
play,7,0,candj002,01,.CX,31/G34
play,7,0,wisdp001,00,,NP
sub,taucm001,"Mike Tauchman",0,8,11
play,7,0,taucm001,31,.BCBBB,W
play,7,0,amaym001,22,FBBFH,HP.1-2
play,7,0,morec001,22,BC>FBS,K
play,7,0,hoern001,10,BX,9/F9LS
play,7,1,lindf001,00,,NP
