id,PIT202309150
version,2
info,visteam,NYA
info,hometeam,PIT
info,site,PIT08
info,date,2023/09/15
info,number,0
info,gametype,regular
info,starttime,6:35PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,tumpj901
info,ump1b,blakr901
info,ump2b,wendh902
info,ump3b,muchm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/05 05:53:05
info,howscored,unknown
info,pitches,pitches
info,oscorer,musid701
info,temp,70
info,winddir,fromlf
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,195
info,attendance,31534
info,wp,ramin003
info,lp,holdc001
info,save,holmc001
start,lemad001,"DJ LeMahieu",0,1,3
start,judga001,"Aaron Judge",0,2,9
start,torrg001,"Gleyber Torres",0,3,4
start,stanm004,"Giancarlo Stanton",0,4,10
start,flore001,"Estevan Florial",0,5,8
start,volpa001,"Anthony Volpe",0,6,6
start,perao002,"Oswald Peraza",0,7,5
start,cabro002,"Oswaldo Cabrera",0,8,7
start,rortb001,"Ben Rortvedt",0,9,2
start,coleg001,"Gerrit Cole",0,0,1
start,bae-j001,"Ji Hwan Bae",1,1,4
start,reynb001,"Bryan Reynolds",1,2,7
start,hayek001,"Ke'Bryan Hayes",1,3,5
start,suwij001,"Jack Suwinski",1,4,8
start,joe-c001,"Connor Joe",1,5,3
start,rodre006,"Endy Rodriguez",1,6,2
start,andum001,"Miguel Andujar",1,7,10
start,palaj001,"Joshua Palacios",1,8,9
start,pegul001,"Liover Peguero",1,9,6
start,oviej001,"Johan Oviedo",1,0,1
play,1,0,lemad001,32,BBBCCT,K
play,1,0,judga001,32,BBCFFBFS,K
play,1,0,torrg001,31,BBCBB,W
play,1,0,stanm004,31,BBBCB,W.1-2
play,1,0,flore001,32,BFBS.B>X,5/P5
play,1,1,bae-j001,32,FBBBFB,W
play,1,1,reynb001,32,F*BCBFF1B>B,W.1-2
play,1,1,hayek001,12,FTBX,S9/L89+.2-3;1-2
play,1,1,suwij001,11,FBX,8/SF/L78D.3-H;2-3;1-2
play,1,1,joe-c001,00,X,8/F8S
play,1,1,rodre006,32,BBCBF.B,W
play,1,1,andum001,00,X,8/F89XD
play,2,0,volpa001,11,CBX,D7/L78XD+
play,2,0,perao002,22,CCFB*BFFX,63/G6.2-3
play,2,0,cabro002,30,BBBB,W
play,2,0,rortb001,11,BCX,S9/G34.3-H;1-2
play,2,0,lemad001,22,CCBBX,5(2)3/GDP/G5
play,2,1,palaj001,12,CBSX,7/F7
play,2,1,pegul001,00,X,S7/G5
play,2,1,bae-j001,32,BF*BBF>X,53/G5.1-2
play,2,1,reynb001,12,SBFX,S9/G34.2-H
play,2,1,hayek001,00,X,S8/L8.1-2
play,2,1,suwij001,32,FFB2BB>S,K
play,3,0,judga001,00,X,S7/L7D+
play,3,0,torrg001,32,CBBBC*B,W.1-2
play,3,0,stanm004,12,CBCS,K
play,3,0,flore001,30,BBBB,W.2-3;1-2
play,3,0,volpa001,02,CTS,K
play,3,0,perao002,02,CS.S,K
play,3,1,joe-c001,00,X,43/G4M
play,3,1,rodre006,01,CX,S7/L7L
play,3,1,andum001,22,CC.B*BFFX,3/P4S
play,3,1,palaj001,32,BBCSB>F>F>S,K
play,4,0,cabro002,11,BFX,S6/G6
play,4,0,rortb001,00,X,7/L7
play,4,0,lemad001,22,CFBBS,K
play,4,0,judga001,32,*BSBBS>S,K
play,4,1,pegul001,02,FSX,S9/L89
play,4,1,bae-j001,32,CBFFB1FB1>C,K+CS2(26)/DP
play,4,1,reynb001,32,BCBSBS,K
play,5,0,torrg001,00,X,53/G56
play,5,0,stanm004,02,CCX,53/G5
play,5,0,flore001,02,CC.X,43/G34
play,5,1,hayek001,11,BCX,8/F8XD
play,5,1,suwij001,01,FX,3/G3
play,5,1,joe-c001,01,CX,63/G6
play,6,0,volpa001,00,,NP
sub,hatct001,"Thomas Hatch",1,0,1
play,6,0,volpa001,22,.CSBBS,K
play,6,0,perao002,22,FBSBS,K
play,6,0,cabro002,00,X,S8/L89XD
play,6,0,rortb001,31,B1BCBB,W.1-2
play,6,0,lemad001,02,CFX,S8/G4.2-H;1-3
play,6,0,judga001,31,B*BSBX,S8/G4M.3-H;1-2
play,6,0,torrg001,02,CSX,13/G1
play,6,1,rodre006,00,,NP
